"Date","Price","Open","High","Low","Vol.","Change %"
"04-04-2025","20,805.35","21,199.20","21,212.10","20,736.80","2.54B","-2.06%"
"03-04-2025","21,243.40","21,100.55","21,263.45","21,096.75","2.44B","-0.10%"
"02-04-2025","21,265.65","21,101.85","21,279.10","21,007.15","2.57B","0.92%"
"01-04-2025","21,070.75","21,227.10","21,398.35","21,042.45","3.89B","-1.26%"
"28-03-2025","21,339.55","21,439.20","21,514.10","21,277.90","2.77B","-0.32%"
"27-03-2025","21,407.95","21,218.40","21,447.90","21,195.70","4.35B","0.62%"
"26-03-2025","21,275.45","21,464.95","21,525.60","21,255.70","2.44B","-0.76%"
"25-03-2025","21,437.75","21,652.85","21,674.05","21,385.80","2.44B","-0.47%"
"24-03-2025","21,538.10","21,427.20","21,595.85","21,346.80","2.61B","1.24%"
"21-03-2025","21,273.90","21,065.25","21,297.00","21,031.45","3.56B","0.97%"
"20-03-2025","21,070.05","20,989.35","21,092.20","20,873.55","2.32B","0.99%"
"19-03-2025","20,864.50","20,713.25","20,895.25","20,664.00","2.75B","1.00%"
"18-03-2025","20,657.20","20,418.55","20,676.95","20,370.20","1.95B","1.82%"
"17-03-2025","20,288.30","20,166.60","20,358.25","20,166.50","1.67B","0.56%"
"13-03-2025","20,176.05","20,337.85","20,357.30","20,157.50","1.79B","-0.44%"
"12-03-2025","20,264.35","20,351.90","20,397.95","20,108.70","2.15B","-0.19%"
"11-03-2025","20,302.50","20,122.55","20,333.75","20,073.40","2.01B","0.18%"
"10-03-2025","20,266.50","20,434.95","20,543.70","20,230.65","2.00B","-0.87%"
"07-03-2025","20,443.40","20,428.15","20,549.20","20,377.60","2.02B","-0.02%"
"06-03-2025","20,447.10","20,411.45","20,467.15","20,262.75","2.07B","0.94%"
"05-03-2025","20,256.50","19,901.60","20,265.05","19,901.60","2.16B","1.70%"
"04-03-2025","19,917.85","19,736.05","19,957.50","19,681.65","2.09B","0.11%"
"03-03-2025","19,896.95","19,935.55","19,997.05","19,658.30","2.36B","0.08%"
"28-02-2025","19,880.90","20,185.40","20,197.85","19,816.00","3.03B","-2.14%"
"27-02-2025","20,315.55","20,436.50","20,471.85","20,278.65","1.92B","-0.51%"
"25-02-2025","20,418.75","20,445.55","20,548.90","20,388.75","1.45B","-0.24%"
"24-02-2025","20,468.45","20,510.95","20,546.05","20,429.30","1.44B","-1.07%"
"21-02-2025","20,690.25","20,792.05","20,903.35","20,616.60","1.84B","-0.68%"
"20-02-2025","20,831.10","20,645.70","20,840.35","20,630.20","1.65B","0.48%"
"19-02-2025","20,731.45","20,511.20","20,802.55","20,459.20","1.79B","0.58%"
"18-02-2025","20,611.40","20,663.60","20,692.30","20,466.75","1.72B","-0.20%"
"17-02-2025","20,652.35","20,511.05","20,667.55","20,339.00","2.00B","0.09%"
"14-02-2025","20,633.10","20,964.60","20,984.70","20,476.65","2.05B","-1.30%"
"13-02-2025","20,904.35","20,926.00","21,122.00","20,866.50","2.13B","-0.02%"
"12-02-2025","20,907.85","20,924.15","21,002.00","20,545.75","2.54B","-0.20%"
"11-02-2025","20,950.45","21,366.25","21,376.45","20,860.60","1.78B","-1.97%"
"10-02-2025","21,371.30","21,636.20","21,659.25","21,301.85","1.47B","-1.27%"
"07-02-2025","21,646.15","21,703.75","21,765.15","21,521.75","2.11B","-0.12%"
"06-02-2025","21,672.45","21,860.10","21,870.90","21,620.15","1.57B","-0.51%"
"05-02-2025","21,784.25","21,797.70","21,870.40","21,763.70","1.97B","0.26%"
"04-02-2025","21,727.45","21,551.40","21,743.55","21,474.45","2.15B","1.52%"
"03-02-2025","21,402.55","21,422.85","21,445.95","21,286.70","2.26B","-0.83%"
"01-02-2025","21,581.75","21,628.65","21,713.95","21,388.20","3.02B","0.00%"
"31-01-2025","21,580.90","21,339.35","21,613.00","21,310.30","2.25B","1.33%"
"30-01-2025","21,297.50","21,282.10","21,404.20","21,209.60","2.00B","0.24%"
"29-01-2025","21,245.50","20,971.40","21,259.85","20,968.35","1.86B","1.53%"
"28-01-2025","20,924.75","21,009.20","21,100.45","20,757.90","2.49B","0.07%"
"27-01-2025","20,910.95","21,158.85","21,163.00","20,861.15","2.30B","-1.91%"
"24-01-2025","21,318.90","21,533.05","21,611.20","21,279.00","1.75B","-1.02%"
"23-01-2025","21,538.05","21,377.80","21,595.00","21,338.95","1.84B","0.66%"
"22-01-2025","21,396.55","21,484.45","21,500.30","21,178.80","2.09B","-0.17%"
